rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
-85.1,10,28,30,1,3.0,,,,
-87.75,20,59,60,1,3.0,,,,
-87.0,30,97,90,0,3.0,,,,
-88.5,40,134,120,0,3.0,1188.1663818359375,0.001,6.43167781829834,18
-89.72,50,182,150,0,3.0,85.68234761555989,0.001,30.836955070495605,48
-89.61666666666666,60,227,180,0,3.0,56.755194346110024,0.001,28.26693630218506,78
-89.64285714285714,70,274,210,0,3.0,28.279389063517254,0.001,30.189247131347656,108
-89.425,80,323,240,0,3.0,19.248111724853516,0.001,32.19069862365723,138
-89.5,90,375,270,0,3.0,14.084309260050455,0.001,32.368736267089844,168
-89.33,100,433,300,0,3.0,10.638606389363607,0.001,32.99191856384277,198
-89.36,110,498,330,0,3.0,7.959969202677409,0.001,34.31657028198242,228
-87.84,120,572,360,0,3.0,6.563840866088867,0.001,35.08359146118164,258
