time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss
14,1,2.2,-66.2,10,22,,,,,,
13,4,2.8,-78.4,20,56,,,,,,
13,6,2.8666666666666667,-81.2,30,86,,,,,,
12,8,2.8,-79.2,40,112,11,-0.005004312377423048,0.9970057010650635,0.0003,1006.115234375,-0.04578469321131706
11,13,3.2,-89.26,50,160,59,-0.027567584067583084,0.9828404188156128,0.0003,707.5484008789062,4.744543075561523
11,16,3.066666666666667,-83.25,60,184,83,-0.034324727952480316,0.9761307835578918,0.0003,515.3111572265625,8.894401550292969
10,22,3.4714285714285715,-93.41428571428571,70,243,142,-0.04085922986268997,0.9619479179382324,0.0003,217.21487426757812,22.677539825439453
10,26,3.3625,-88.8875,80,269,168,-0.04470638185739517,0.9564144015312195,0.0003,214.84063720703125,26.38672637939453
9,30,3.3222222222222224,-86.42222222222222,90,299,198,-0.04628397151827812,0.9503538608551025,0.0003,188.42807006835938,28.29218292236328
9,34,3.28,-83.99,100,328,227,-0.04581810161471367,0.9449494481086731,0.0003,242.54014587402344,28.863536834716797
9,37,3.26,-82.25,110,348,247,-0.035682518035173416,0.941613495349884,0.0003,246.05543518066406,29.289722442626953
9,40,3.08,-77.42,120,364,263,-0.03749413415789604,0.9391983151435852,0.0003,274.77020263671875,30.08101463317871
8,43,2.96,-71.92,130,382,281,-0.040765732526779175,0.9366563558578491,0.0003,355.1024169921875,30.903770446777344
8,47,2.91,-70.16,140,403,302,-0.03256169706583023,0.9337698817253113,0.0003,456.7818298339844,31.719924926757812
8,50,2.61,-61.46,150,421,320,-0.0355430468916893,0.9314478039741516,0.0003,366.876220703125,32.45452117919922
8,53,2.52,-60.13,160,436,335,-0.03233509510755539,0.9295837879180908,0.0003,396.0215759277344,33.34815216064453
7,57,2.1,-48.15,170,453,352,-0.03484616056084633,0.9275984168052673,0.0003,453.7539367675781,33.649192810058594
7,61,2.03,-46.99,180,472,371,-0.03401632606983185,0.9254266619682312,0.0003,494.8611145019531,34.474796295166016
7,66,1.94,-44.43,190,493,392,-0.02813360095024109,0.9231868386268616,0.0003,444.0969543457031,34.81451416015625
7,70,1.8,-41.55,200,508,407,-0.01876320317387581,0.9217100143432617,0.0003,501.8779296875,35.364131927490234
7,74,1.76,-39.27,210,524,423,-0.016822468489408493,0.9202525019645691,0.0003,570.7028198242188,36.121341705322266
6,78,1.76,-38.68,220,540,439,-0.0062389373779296875,0.9189649820327759,0.0003,490.22735595703125,35.84193420410156
6,83,1.72,-37.43,230,554,453,-0.016005991026759148,0.9180054068565369,0.0003,577.693359375,36.41847229003906
6,87,1.67,-35.63,240,570,469,-0.013278034515678883,0.9170114398002625,0.0003,618.8604736328125,37.20838165283203
6,92,1.63,-33.49,250,584,483,-0.009917151182889938,0.9161809682846069,0.0003,662.6436767578125,36.5379753112793
6,97,1.66,-33.14,260,602,501,-0.015244961716234684,0.9153302907943726,0.0003,654.067626953125,36.457000732421875
5,103,1.7,-34.77,270,623,522,-0.005709751509130001,0.9145222902297974,0.0003,618.3783569335938,37.62773132324219
5,109,1.71,-35.64,280,643,542,0.0017884443514049053,0.9140037894248962,0.0003,625.3818359375,37.12278747558594
5,116,1.7,-37.08,290,663,562,-0.01252618245780468,0.9136912226676941,0.0003,620.3543701171875,38.26130294799805
5,122,1.72,-37.77,300,680,579,-0.0050705550238490105,0.9134219884872437,0.0003,708.915283203125,39.71457290649414
5,128,1.75,-39.84,310,699,598,-0.0005547469481825829,0.9129651188850403,0.0003,645.8336181640625,39.730159759521484
5,136,1.78,-40.39,320,718,617,0.0017375426832586527,0.912512481212616,0.0003,671.0341796875,41.257568359375
5,143,1.85,-43.68,330,739,638,-0.00884207058697939,0.9121452569961548,0.0003,687.9887084960938,41.27696990966797
4,154,1.96,-45.79,340,766,665,-0.004784034099429846,0.9117396473884583,0.0003,720.5482788085938,42.40855407714844
4,165,2.09,-48.82,350,793,692,0.004647328518331051,0.9114776253700256,0.0003,708.8162841796875,42.863460540771484
4,172,2.02,-45.41,360,804,703,0.009980067610740662,0.9114797711372375,0.0003,738.1522216796875,42.58438491821289
4,180,1.96,-41.48,370,819,718,-0.002475661225616932,0.911706268787384,0.0003,797.7509765625,42.81760787963867
4,187,1.89,-36.81,380,832,731,0.00200845068320632,0.9120791554450989,0.0003,816.9862670898438,42.83936309814453
4,196,1.83,-32.28,390,846,745,0.023498907685279846,0.9126928448677063,0.0003,709.37158203125,41.27114486694336
4,204,1.79,-28.95,400,859,758,0.022577885538339615,0.9136159420013428,0.0003,891.185791015625,42.985816955566406
4,212,1.72,-24.74,410,871,770,0.025455646216869354,0.9146854281425476,0.0003,807.5593872070312,41.352325439453125
3,221,1.68,-21.76,420,886,785,0.03429213538765907,0.9163867831230164,0.0003,808.6517333984375,39.45390319824219
3,229,1.59,-17.0,430,898,797,0.026654310524463654,0.9179925322532654,0.0003,835.6094970703125,39.716331481933594
3,239,1.46,-12.02,440,912,811,0.033843860030174255,0.9201462268829346,0.0003,783.086181640625,39.4156494140625
3,248,1.31,-7.33,450,924,823,0.03831610456109047,0.9221914410591125,0.0003,783.3133544921875,37.412940979003906
3,258,1.33,-7.81,460,937,836,0.05023658275604248,0.9245094656944275,0.0003,697.7235717773438,34.096351623535156
3,267,1.31,-7.34,470,950,849,0.038580793887376785,0.9271743893623352,0.0003,762.0279541015625,34.686771392822266
3,277,1.3,-7.13,480,962,861,0.039421435445547104,0.9297470450401306,0.0003,723.8170166015625,34.168617248535156
3,287,1.29,-6.81,490,975,874,0.02830992080271244,0.9328562021255493,0.0003,749.08837890625,32.25332260131836
3,297,1.27,-6.44,500,986,885,0.04041390120983124,0.935533344745636,0.0003,689.7415161132812,32.80039978027344
3,308,1.28,-6.88,510,999,898,0.04149004817008972,0.9390252828598022,0.0003,652.6524658203125,29.767574310302734
