time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss
13,10,25,1,-59.9,2.5,,,,,,
12,20,43,3,-49.2,2.15,,,,,,
12,30,69,5,-57.56666666666667,2.3,,,,,,
12,40,123,9,-82.825,3.075,22,-0.010553204454481602,0.9937187433242798,0.0003,847.7943725585938,0.9750930070877075
11,50,155,12,-83.68,3.1,54,-0.024971678853034973,0.98427814245224,0.0003,642.0547485351562,4.925414562225342
11,60,170,14,-75.73333333333333,2.8333333333333335,69,-0.0298970527946949,0.9800122380256653,0.0003,576.4141845703125,7.67636775970459
10,70,224,20,-86.18571428571428,3.2,123,-0.038910187780857086,0.966343879699707,0.0003,276.68524169921875,20.906532287597656
10,80,264,25,-87.35,3.3,163,-0.043149255216121674,0.9575290083885193,0.0003,221.6266632080078,28.264564514160156
9,90,292,29,-84.07777777777778,3.2444444444444445,191,-0.047981470823287964,0.9515587687492371,0.0003,288.85076904296875,29.655559539794922
9,100,319,33,-81.85,3.19,218,-0.053188517689704895,0.9458469152450562,0.0003,293.9917297363281,30.52716827392578
9,110,340,36,-79.45,3.15,239,-0.05137435346841812,0.9414411783218384,0.0003,270.8404846191406,31.246810913085938
8,120,358,40,-79.38,3.15,257,-0.050907984375953674,0.9378715753555298,0.0003,367.34814453125,31.465648651123047
8,130,375,43,-74.36,3.06,274,-0.04549645632505417,0.9347236752510071,0.0003,347.03564453125,32.13702392578125
8,140,392,46,-62.64,2.69,291,-0.04288560897111893,0.9318380951881409,0.0003,352.6478576660156,32.279815673828125
8,150,415,50,-60.71,2.6,314,-0.040255822241306305,0.9283668398857117,0.0003,425.7137145996094,32.10092544555664
7,160,433,54,-59.66,2.63,332,-0.03514983505010605,0.9259739518165588,0.0003,404.28125,33.431541442871094
7,170,453,58,-50.14,2.29,352,-0.03356288745999336,0.923579752445221,0.0003,453.26141357421875,34.25172805786133
7,180,470,61,-44.62,2.06,369,-0.03298443555831909,0.9216816425323486,0.0003,446.0758056640625,34.822166442871094
7,190,493,66,-44.27,2.01,392,-0.03664582967758179,0.919327437877655,0.0003,485.3907165527344,35.13142395019531
