time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
14,1,26,-78.9,10,2.6,,,,
12,3,44,-60.8,20,2.2,,,,
12,4,60,-56.86666666666667,30,2.0,,,,
11,6,79,-51.525,40,1.975,,,,
11,8,97,-50.66,50,1.94,,,,
10,11,124,-54.05,60,2.066666666666667,20,7.931658029556274,0.001,647.6459350585938
9,14,140,-49.285714285714285,70,2.0,39,22.803364753723145,0.001,294.02427673339844
9,17,161,-47.75,80,2.0125,61,23.95699405670166,0.001,199.69161987304688
8,20,178,-44.611111111111114,90,1.9777777777777779,78,21.627953847249348,0.001,279.07712809244794
8,22,195,-43.67,100,1.95,95,22.387983322143555,0.001,275.2685241699219
8,25,210,-37.68,110,1.84,109,21.480148315429688,0.001,258.5494384765625
7,28,223,-34.78,120,1.79,123,20.90557098388672,0.001,297.31610107421875
7,30,237,-32.02,130,1.77,137,19.619945526123047,0.001,325.2083435058594
7,34,252,-29.85,140,1.73,152,20.49934959411621,0.001,329.0965881347656
7,37,268,-26.77,150,1.71,167,20.44634246826172,0.001,296.2232208251953
6,41,288,-23.55,160,1.64,185,19.86678123474121,0.001,296.8587951660156
6,44,299,-21.75,170,1.59,199,19.590839385986328,0.001,278.7283935546875
6,48,312,-18.82,180,1.51,212,21.08818244934082,0.001,284.9970397949219
6,53,333,-20.32,190,1.55,229,18.7624454498291,0.001,276.2248840332031
6,57,349,-18.9,200,1.54,249,19.33256721496582,0.001,253.01853942871094
5,62,366,-18.91,210,1.56,264,18.826160430908203,0.001,273.0011901855469
5,67,380,-18.63,220,1.57,280,18.92449378967285,0.001,251.5115203857422
5,71,395,-17.8,230,1.58,294,17.923219680786133,0.001,218.07034301757812
5,76,407,-16.96,240,1.55,306,17.744915008544922,0.001,241.36610412597656
5,81,422,-16.68,250,1.54,321,16.913408279418945,0.001,223.756591796875
5,86,436,-13.85,260,1.48,336,14.955760955810547,0.001,236.71926879882812
4,90,447,-13.86,270,1.48,346,13.678297996520996,0.001,203.40292358398438
4,96,462,-14.46,280,1.5,362,13.461246490478516,0.001,145.43563842773438
4,102,476,-12.08,290,1.43,376,15.09817361831665,0.001,167.02489471435547
4,107,488,-10.45,300,1.39,388,14.368342399597168,0.001,155.4926300048828
4,114,503,-9.8,310,1.37,403,13.196528434753418,0.001,151.81983947753906
