time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss
20,11,1,2.0,-56.1,10,,,,,,
48,11,4,2.4,-61.4,20,,,,,,
68,10,6,2.2666666666666666,-57.6,30,,,,,,
90,10,8,2.25,-56.125,40,,,,,,
110,9,11,2.2,-55.26,50,0.0003,-0.19472327828407288,839.4502563476562,0.9976025819778442,9,-0.00401591882109642
139,9,14,2.316666666666667,-59.016666666666666,60,0.0003,2.040574073791504,711.9295654296875,0.9889663457870483,38,-0.01819981075823307
166,9,17,2.3714285714285714,-60.67142857142857,70,0.0003,5.425077438354492,690.62841796875,0.9811114072799683,65,-0.029036445543169975
193,8,21,2.4125,-60.825,80,0.0003,10.308670043945312,469.92034912109375,0.9737172722816467,92,-0.03683583810925484
212,8,24,2.3555555555555556,-58.644444444444446,90,0.0003,14.365306854248047,381.4438781738281,0.9689283967018127,111,-0.03697695955634117
228,8,27,2.28,-54.89,100,0.0003,17.863346099853516,301.30792236328125,0.9651740193367004,127,-0.03931737691164017
252,7,31,2.32,-53.82,110,0.0003,22.249174118041992,261.43359375,0.9599558711051941,151,-0.04126822203397751
269,7,35,2.21,-49.75,120,0.0003,24.132896423339844,274.2789306640625,0.9564564228057861,168,-0.04130231961607933
289,7,39,2.21,-48.19,130,0.0003,25.024585723876953,291.6654968261719,0.9525244832038879,188,-0.04142358899116516
311,7,43,2.21,-48.73,140,0.0003,25.641414642333984,326.0382385253906,0.9482967257499695,210,-0.044078484177589417
327,6,47,2.17,-45.79,150,0.0003,25.968687057495117,340.875244140625,0.9453168511390686,226,-0.04585348069667816
340,6,50,2.01,-38.89,160,0.0003,26.093013763427734,354.33935546875,0.9429430961608887,239,-0.050072964280843735
363,6,55,1.97,-37.74,170,0.0003,26.84528160095215,382.0263671875,0.9388962388038635,262,-0.04290113225579262
377,6,59,1.84,-33.68,180,0.0003,26.919363021850586,421.68988037109375,0.9365484118461609,276,-0.04240786284208298
393,6,63,1.81,-31.2,190,0.0003,27.262157440185547,412.0811462402344,0.934048593044281,292,-0.044726572930812836
409,5,68,1.81,-30.71,200,0.0003,27.501323699951172,451.9084167480469,0.9316714406013489,308,-0.04337415099143982
424,5,72,1.72,-28.61,210,0.0003,27.745121002197266,454.73284912109375,0.9295859932899475,323,-0.03445417433977127
448,5,78,1.79,-31.68,220,0.0003,27.982948303222656,502.37200927734375,0.9265372157096863,347,-0.036872170865535736
468,5,84,1.79,-31.02,230,0.0003,28.773086547851562,516.9544677734375,0.9241578578948975,367,-0.028006624430418015
487,5,90,1.76,-29.42,240,0.0003,29.402565002441406,483.1947021484375,0.922156572341919,386,-0.030978243798017502
503,5,95,1.76,-29.26,250,0.0003,29.295503616333008,509.65478515625,0.9206553101539612,402,-0.02654862403869629
518,5,100,1.78,-30.87,260,0.0003,29.151100158691406,561.5361938476562,0.9193199872970581,417,-0.026434991508722305
533,5,106,1.7,-26.96,270,0.0003,29.096126556396484,551.146240234375,0.9181119799613953,432,-0.01253119483590126
546,4,111,1.69,-26.22,280,0.0003,29.146411895751953,567.9871826171875,0.9171586036682129,445,-0.010583136230707169
559,4,117,1.66,-25.37,290,0.0003,28.780105590820312,633.1516723632812,0.9163933396339417,458,-0.017983540892601013
